"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2396","Invalid Login - Empty email field should show validation error","chromium","Tue Nov 18 01:52:46 BDT 2025","passed","Tue Nov 18 01:52:48 BDT 2025","User Authentication Test Suite","logIn.spec.ts","",""
"","26625","Footer QA Brains & Topics heading link functionality","chromium","Tue Nov 18 01:50:56 BDT 2025","passed","Tue Nov 18 01:51:23 BDT 2025","QA Brains Website Complete Footer functionality test","footer.spec.ts","",""
"","25054","Footer Quick Links and Follow Us Test","chromium","Tue Nov 18 01:50:56 BDT 2025","passed","Tue Nov 18 01:51:21 BDT 2025","QA Brains Website Complete Footer functionality test","footer.spec.ts","",""
"","59979","Footer Quick Links and Follow Us Test","firefox","Tue Nov 18 00:22:18 BDT 2025","passed","Tue Nov 18 00:23:18 BDT 2025","QA Brains Website Complete Footer functionality test","footer.spec.ts","",""
"","4861","Invalid Login - Wrong password should show error","chromium","Tue Nov 18 01:52:31 BDT 2025","passed","Tue Nov 18 01:52:36 BDT 2025","User Authentication Test Suite","logIn.spec.ts","",""
"","34","Invalid Login - Wrong password should show error","webkit","Tue Nov 18 00:25:53 BDT 2025","failed","Tue Nov 18 00:25:53 BDT 2025","User Authentication Test Suite","logIn.spec.ts","",""
"","3757","Negative: Forgot Password - Empty email field should show validation error","chromium","Tue Nov 18 01:51:31 BDT 2025","passed","Tue Nov 18 01:51:35 BDT 2025","Forgot Password Test Suite","forgotPassword.spec.ts","",""
"","8824","Positive: Forgot Password - Valid email with special characters should initiate password reset","firefox","Tue Nov 18 00:23:33 BDT 2025","passed","Tue Nov 18 00:23:42 BDT 2025","Forgot Password Test Suite","forgotPassword.spec.ts","",""
"","7433","Invalid Login - Wrong email should show error","firefox","Tue Nov 18 00:24:39 BDT 2025","passed","Tue Nov 18 00:24:46 BDT 2025","User Authentication Test Suite","logIn.spec.ts","",""
"","11","Footer QA Brains & Topics heading link functionality","webkit","Tue Nov 18 00:25:27 BDT 2025","failed","Tue Nov 18 00:25:27 BDT 2025","QA Brains Website Complete Footer functionality test","footer.spec.ts","",""
"","4823","Invalid Login - Empty password field should show validation error","firefox","Tue Nov 18 00:24:50 BDT 2025","passed","Tue Nov 18 00:24:54 BDT 2025","User Authentication Test Suite","logIn.spec.ts","",""
"","10","Positive: Forgot Password - Valid existing user should initiate password reset","webkit","Tue Nov 18 00:51:55 BDT 2025","failed","Tue Nov 18 00:51:55 BDT 2025","Forgot Password Test Suite","forgotPassword.spec.ts","",""
"","16628","Negative: Forgot Password - Multiple invalid email formats should be rejected","chromium","Tue Nov 18 01:51:31 BDT 2025","passed","Tue Nov 18 01:51:48 BDT 2025","Forgot Password Test Suite","forgotPassword.spec.ts","",""
"","5274","Invalid Login - Wrong email should show error","chromium","Tue Nov 18 01:52:36 BDT 2025","passed","Tue Nov 18 01:52:41 BDT 2025","User Authentication Test Suite","logIn.spec.ts","",""
"","17","Invalid Login - Both wrong email and password should show error","webkit","Tue Nov 18 00:25:57 BDT 2025","failed","Tue Nov 18 00:25:57 BDT 2025","User Authentication Test Suite","logIn.spec.ts","",""
"","6825","Valid Login - Successful authentication with correct credentials","chromium","Tue Nov 18 01:40:54 BDT 2025","passed","Tue Nov 18 01:41:01 BDT 2025","User Authentication Test Suite","logIn.spec.ts","",""
"","4063","Invalid Registration - Password validation","chromium","Tue Nov 18 01:34:32 BDT 2025","passed","Tue Nov 18 01:34:36 BDT 2025","User Registration Test Suite","registration.spec.ts","",""
"","4793","Invalid Registration - Password and Confirm Password mismatch","chromium","Tue Nov 18 01:36:03 BDT 2025","passed","Tue Nov 18 01:36:08 BDT 2025","User Registration Test Suite","registration.spec.ts","",""
"","110359","Footer QA Brains & Topics heading link functionality","firefox","Tue Nov 18 00:22:12 BDT 2025","passed","Tue Nov 18 00:24:02 BDT 2025","QA Brains Website Complete Footer functionality test","footer.spec.ts","",""
"","9735","Valid Registration - Successful user registration with valid credentials","firefox","Tue Nov 18 00:59:42 BDT 2025","failed","Tue Nov 18 00:59:52 BDT 2025","User Registration Test Suite","registration.spec.ts","",""
"","7353","Positive: Forgot Password - Valid existing user should initiate password reset","chromium","Tue Nov 18 01:51:24 BDT 2025","passed","Tue Nov 18 01:51:31 BDT 2025","Forgot Password Test Suite","forgotPassword.spec.ts","",""
"","13395","Invalid Registration - Password validation","firefox","Tue Nov 18 01:00:12 BDT 2025","failed","Tue Nov 18 01:00:25 BDT 2025","User Registration Test Suite","registration.spec.ts","",""
"","18","Invalid Login - Both empty fields should show validation errors","webkit","Tue Nov 18 00:26:04 BDT 2025","failed","Tue Nov 18 00:26:04 BDT 2025","User Authentication Test Suite","logIn.spec.ts","",""
"","24","Footer Links Navigation Test","webkit","Tue Nov 18 00:25:48 BDT 2025","failed","Tue Nov 18 00:25:48 BDT 2025","QA Brains Website Complete Navigation Test","homepage.spec.ts","",""
"","14","Negative: Forgot Password - Multiple invalid email formats should be rejected","webkit","Tue Nov 18 00:25:40 BDT 2025","failed","Tue Nov 18 00:25:40 BDT 2025","Forgot Password Test Suite","forgotPassword.spec.ts","",""
"","15","Invalid Login - Wrong email should show error","webkit","Tue Nov 18 00:25:56 BDT 2025","failed","Tue Nov 18 00:25:56 BDT 2025","User Authentication Test Suite","logIn.spec.ts","",""
"","7165","Invalid Registration - Email format validation","firefox","Tue Nov 18 01:36:25 BDT 2025","passed","Tue Nov 18 01:36:32 BDT 2025","User Registration Test Suite","registration.spec.ts","",""
"","6983","Positive: Forgot Password - Whitespace in email should be handled properly","chromium","Tue Nov 18 01:51:39 BDT 2025","passed","Tue Nov 18 01:51:46 BDT 2025","Forgot Password Test Suite","forgotPassword.spec.ts","",""
"","6234","Invalid Login - Both wrong email and password should show error","firefox","Tue Nov 18 00:24:43 BDT 2025","passed","Tue Nov 18 00:24:49 BDT 2025","User Authentication Test Suite","logIn.spec.ts","",""
"","15","verify all navigation links and buttons functionality","webkit","Tue Nov 18 00:25:45 BDT 2025","failed","Tue Nov 18 00:25:45 BDT 2025","QA Brains Website Complete Navigation Test","homepage.spec.ts","",""
"","29174","Positive: Forgot Password - Whitespace in email should be handled properly","firefox","Tue Nov 18 00:24:03 BDT 2025","failed","Tue Nov 18 00:24:32 BDT 2025","Forgot Password Test Suite","forgotPassword.spec.ts","",""
"","4864","Valid Login - Successful authentication with email and password, verify redirect","chromium","Tue Nov 18 01:52:26 BDT 2025","passed","Tue Nov 18 01:52:31 BDT 2025","User Authentication Test Suite","logIn.spec.ts","",""
"","4276","Invalid Registration - Name field validation","chromium","Tue Nov 18 01:53:04 BDT 2025","passed","Tue Nov 18 01:53:08 BDT 2025","User Registration Test Suite","registration.spec.ts","",""
"","2004","Footer For Support section test","chromium","Tue Nov 18 01:51:22 BDT 2025","passed","Tue Nov 18 01:51:24 BDT 2025","QA Brains Website Complete Footer functionality test","footer.spec.ts","",""
"","3799","Negative: Forgot Password - Very long email should be handled properly","chromium","Tue Nov 18 01:51:35 BDT 2025","passed","Tue Nov 18 01:51:39 BDT 2025","Forgot Password Test Suite","forgotPassword.spec.ts","",""
"","14","Valid Login - Successful authentication with correct credentials","webkit","Tue Nov 18 00:25:49 BDT 2025","failed","Tue Nov 18 00:25:49 BDT 2025","User Authentication Test Suite","logIn.spec.ts","",""
"","3330","Invalid Registration - Email format validation","chromium","Tue Nov 18 01:53:08 BDT 2025","passed","Tue Nov 18 01:53:11 BDT 2025","User Registration Test Suite","registration.spec.ts","",""
"","16","Invalid Login - Special characters in password should be handled properly","webkit","Tue Nov 18 00:26:05 BDT 2025","failed","Tue Nov 18 00:26:05 BDT 2025","User Authentication Test Suite","logIn.spec.ts","",""
"","6651","Valid Registration - Successful user registration with valid credentials","chromium","Tue Nov 18 01:52:57 BDT 2025","passed","Tue Nov 18 01:53:04 BDT 2025","User Registration Test Suite","registration.spec.ts","",""
"","4487","Invalid Login - Both empty fields should show validation errors","firefox","Tue Nov 18 00:24:50 BDT 2025","passed","Tue Nov 18 00:24:55 BDT 2025","User Authentication Test Suite","logIn.spec.ts","",""
"","6553","Valid Login - Successful authentication with email and password, verify redirect","firefox","Tue Nov 18 00:24:32 BDT 2025","passed","Tue Nov 18 00:24:39 BDT 2025","User Authentication Test Suite","logIn.spec.ts","",""
"","3613","Footer For Support section test","firefox","Tue Nov 18 00:23:19 BDT 2025","passed","Tue Nov 18 00:23:22 BDT 2025","QA Brains Website Complete Footer functionality test","footer.spec.ts","",""
"","18","Invalid Registration - Name field validation","webkit","Tue Nov 18 01:00:34 BDT 2025","failed","Tue Nov 18 01:00:34 BDT 2025","User Registration Test Suite","registration.spec.ts","",""
"","14","Valid Login - Successful authentication with email and password, verify redirect","webkit","Tue Nov 18 00:25:52 BDT 2025","failed","Tue Nov 18 00:25:52 BDT 2025","User Authentication Test Suite","logIn.spec.ts","",""
"","3012","Footer Links Navigation Test","firefox","Tue Nov 18 00:24:22 BDT 2025","passed","Tue Nov 18 00:24:25 BDT 2025","QA Brains Website Complete Navigation Test","homepage.spec.ts","",""
"","46","Invalid Registration - Password and Confirm Password mismatch","webkit","Tue Nov 18 01:00:45 BDT 2025","failed","Tue Nov 18 01:00:45 BDT 2025","User Registration Test Suite","registration.spec.ts","",""
"","11609","verify all navigation links and buttons functionality","firefox","Tue Nov 18 00:24:08 BDT 2025","failed","Tue Nov 18 00:24:20 BDT 2025","QA Brains Website Complete Navigation Test","homepage.spec.ts","",""
"","8292","Negative: Forgot Password - Empty email field should show validation error","firefox","Tue Nov 18 00:23:42 BDT 2025","passed","Tue Nov 18 00:23:50 BDT 2025","Forgot Password Test Suite","forgotPassword.spec.ts","",""
"","12","Positive: Forgot Password - Valid email with special characters should initiate password reset","webkit","Tue Nov 18 00:25:37 BDT 2025","failed","Tue Nov 18 00:25:37 BDT 2025","Forgot Password Test Suite","forgotPassword.spec.ts","",""
"","7539","Positive: Forgot Password - Valid email with special characters should initiate password reset","chromium","Tue Nov 18 01:51:24 BDT 2025","passed","Tue Nov 18 01:51:31 BDT 2025","Forgot Password Test Suite","forgotPassword.spec.ts","",""
"","4645","Invalid Login - Both wrong email and password should show error","chromium","Tue Nov 18 01:52:41 BDT 2025","passed","Tue Nov 18 01:52:46 BDT 2025","User Authentication Test Suite","logIn.spec.ts","",""
"","8941","Negative: Forgot Password - Multiple invalid email formats should be rejected","firefox","Tue Nov 18 00:23:50 BDT 2025","failed","Tue Nov 18 00:23:59 BDT 2025","Forgot Password Test Suite","forgotPassword.spec.ts","",""
"","3445","Invalid Login - Empty email field should show validation error","firefox","Tue Nov 18 00:24:47 BDT 2025","passed","Tue Nov 18 00:24:50 BDT 2025","User Authentication Test Suite","logIn.spec.ts","",""
"","5134","Invalid Login - Special characters in password should be handled properly","chromium","Tue Nov 18 01:52:52 BDT 2025","passed","Tue Nov 18 01:52:57 BDT 2025","User Authentication Test Suite","logIn.spec.ts","",""
"","1454","Footer Links Navigation Test","chromium","Tue Nov 18 01:51:48 BDT 2025","passed","Tue Nov 18 01:51:49 BDT 2025","QA Brains Website Complete Navigation Test","homepage.spec.ts","",""
"","6853","Valid Login - Successful authentication with correct credentials","firefox","Tue Nov 18 00:24:26 BDT 2025","passed","Tue Nov 18 00:24:32 BDT 2025","User Authentication Test Suite","logIn.spec.ts","",""
"","13","Footer For Support section test","webkit","Tue Nov 18 00:25:33 BDT 2025","failed","Tue Nov 18 00:25:33 BDT 2025","QA Brains Website Complete Footer functionality test","footer.spec.ts","",""
"","16","Negative: Forgot Password - Very long email should be handled properly","webkit","Tue Nov 18 00:25:41 BDT 2025","failed","Tue Nov 18 00:25:42 BDT 2025","Forgot Password Test Suite","forgotPassword.spec.ts","",""
"","40193","verify all navigation links and buttons functionality","chromium","Tue Nov 18 01:51:46 BDT 2025","passed","Tue Nov 18 01:52:26 BDT 2025","QA Brains Website Complete Navigation Test","homepage.spec.ts","",""
"","8867","Positive: Forgot Password - Valid existing user should initiate password reset","firefox","Tue Nov 18 00:51:46 BDT 2025","passed","Tue Nov 18 00:51:55 BDT 2025","Forgot Password Test Suite","forgotPassword.spec.ts","",""
"","6574","Negative: Forgot Password - Very long email should be handled properly","firefox","Tue Nov 18 00:24:01 BDT 2025","passed","Tue Nov 18 00:24:08 BDT 2025","Forgot Password Test Suite","forgotPassword.spec.ts","",""
"","1740","Invalid Login - Both empty fields should show validation errors","chromium","Tue Nov 18 01:52:50 BDT 2025","passed","Tue Nov 18 01:52:52 BDT 2025","User Authentication Test Suite","logIn.spec.ts","",""
"","13","Positive: Forgot Password - Whitespace in email should be handled properly","webkit","Tue Nov 18 00:25:44 BDT 2025","failed","Tue Nov 18 00:25:44 BDT 2025","Forgot Password Test Suite","forgotPassword.spec.ts","",""
"","17","Invalid Login - Empty password field should show validation error","webkit","Tue Nov 18 00:26:01 BDT 2025","failed","Tue Nov 18 00:26:01 BDT 2025","User Authentication Test Suite","logIn.spec.ts","",""
"","14","Valid Registration - Successful user registration with valid credentials","webkit","Tue Nov 18 01:00:30 BDT 2025","failed","Tue Nov 18 01:00:30 BDT 2025","User Registration Test Suite","registration.spec.ts","",""
